,Is your research data automatically backed up?,Did you lose any research data in the past year?,You said you lost research data in the past year. How much time did you lose?,How frequently do you have problems finding a specific research data file in your collection?,"Do you currently use any dedicated tools for research data management, for example, an electronic lab notebook, or a version control system (such as Git)?",You said that you are currently using tools for data management. What are these tool(s)?,Would you be interested in trying out a dedicated tool for research data management?,Does your project have a data management plan?,Do you know who owns the research data that you are creating?,You said you know who owns the research data that you are creating. Who is it?,Who do you think is responsible for the stewardship of research data resulting from your project?,"Are you aware of funders’ expectations for Findable, Accessible, Interoperable and Reusable (FAIR) data?",Are you aware of research data repositories?,Please provide us with the name(s) of the repository(ies) that you are using,Please indicate if you (or related staff / students) would be interested in any potential training on research data management,Which institution are you from?,Have you heard about dedicated support for research data management at EPFL?,"Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines for data curation (what data to preserve, what metadata and documentation to link to data)]","Among the data curation services indicated below, which would be helpful for your research data management? [Availability of an institutional repository]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a repository]","Among the data curation services indicated below, which would be helpful for your research data management? [Support for depositing data in a repository (includes choice of datasets to be deposited, choice of metadata, data preparation for depositing, link between datasets and publications)]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for data anonymization in case of sensitive data]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines on data re-use policy (how to find data, how to cite data, legal and ethical aspects)]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a license to apply to your data]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for cleaning and managing data in the laboratory (evaluation of the data life-cycle management in the laboratory, analysis of data workflows, guidelines on data format and interoperability of datasets)]","Among the data curation services indicated below, which would be helpful for your research data management? [Advice for storage and security issues]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for verifying data integrity and checking data obsolescence]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for putting in practice the DMP]","Among the data curation services indicated below, which would be helpful for your research data management? [Support for costing data management]",Do you share data files associated with your publications?,Please specify where you share your data,What is your position?,"Do you know where to look for available ICT resources (e.g. storage options, available software) at TU Delft?",Have you heard of 4TU.Centre for Research Data archive (https://www.4tu.nl/en/research/)?,Have you heard about the Data Stewardship project and dedicated support for data management at your faculty?,What is your position?,Which faculty are you from?
20,Not sure,No,,Sometimes,No,,Yes,No,Yes,"EPFL; but in case of contract with industrial partners, the IP can be owned differently (everything is specified in the contracts prepared by TTO)",Myself;My university/institution,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing,EPFL,Yes,"Yes, urgently","Yes, urgently",Yes,"Yes, urgently",No,Yes,Yes,Yes,Yes,"Yes, urgently","Yes, urgently","Yes, urgently",Yes,SWITCHdrive,Adjunct or MER Professor,,,,,
21,Yes,No,,Almost never,Yes,"CVS and, rarely, SVN and GIT",,No,Yes,EPFL,I have no idea what the question means,No,"No, I have no idea what these are",,Not interested in training,EPFL,Yes,No,Yes,Not sure,Not sure,No,No,Yes,No,Not sure,No,No,No,"Yes, sometimes",Own webserver,Full Professor,,,,,
22,Yes,No,,Almost never,Yes,"GIT, Subversion",,No,Not sure,,Myself;Project partner (e.g. commercial company or a collaborator),Yes,"Yes, I am aware of research data repositories, but I have not used them",,Not interested in training,EPFL,"Yes, I have already used it",Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,"Yes, often",Via the web page of the lab.,Full Professor,,,,,
23,Yes,No,,Almost never,No,,Not sure,No,Not sure,,Myself,Yes,"Yes, I am already using them to find existing datasets or to share my own data","none so far, zenodo in the future",Not interested in training,EPFL,Yes,Yes,"Yes, urgently",Yes,"Yes, urgently","Yes, urgently",Yes,"Yes, urgently",Yes,Yes,Yes,No,"Yes, urgently",No,,Tenure Track Assistant Professor,,,,,
24,Not sure,Not sure,,Never,Yes,"c4science, we will consider zenodo for some cases, data for a PlosOne paper are archived with another tool",,No,Yes,the research group conducting the experiment,Myself;My university/institution,Yes,"Yes, I am aware of research data repositories, but I have not used them",,"Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions",EPFL,"Yes, I have already used it",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, sometimes","restricted access on google drive for team members, c4science for broader access but still with nominal access, one paper in the revision process with PlosOne will make the associated data visible to the public",Adjunct or MER Professor,,,,,
25,Yes,Yes,1 day - 7 days,Almost never,No,,Yes,No,Not sure,,Myself,Not sure,Not sure,,Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software,EPFL,No,No,"Yes, urgently",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,"Yes, often",Usually I share my data by email,Postdoc/researcher,,,,,
26,No,No,,Almost never,Yes,dropbox and git,,No,No,,Myself,Yes,"Yes, I am aware of research data repositories, but I have not used them",,Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software,EPFL,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,"Yes, sometimes",on the journal websites,Associate Professor,,,,,
27,No,Yes,1 day - 7 days,Sometimes,Yes,svn,,No,Yes,Industry or me,Myself;Project partner (e.g. commercial company or a collaborator),Yes,"No, I have no idea what these are",,General introduction to research data management,EPFL,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Desktop with svn,Adjunct or MER Professor,,,,,
28,Not sure,Yes,1 day - 7 days,Sometimes,Yes,"Git, github",,No,Yes,The researcher,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,Data backup and storage solutions,EPFL,No,No,"Yes, urgently",Yes,Not sure,Not sure,Not sure,No,Yes,Not sure,Not sure,Not sure,Not sure,"Yes, often","github, and google drive",Tenure Track Assistant Professor,,,,,
29,Yes,No,,Sometimes,Yes,Git,,Yes,Not sure,,Myself,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,"Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,No,"Yes, urgently","Yes, urgently","Yes, urgently","Yes, urgently",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, often",on my lab website [anonymized].epfl.ch  ,Associate Professor,,,,,
30,No,Yes,7 days - 1 month,Frequently,No,,Yes,No,Yes,laboratory PI,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,EPFL,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,"lab server, supplementary information of manuscript",Tenure Track Assistant Professor,,,,,
31,No,No,,Sometimes,No,,Yes,No,Not sure,,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,EPFL,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,"Yes, sometimes",own sever,Tenure Track Assistant Professor,,,,,
32,No,No,,Almost never,Yes,Home written software,,No,Not sure,,Myself,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Funders’ requirements for data management and sharing,EPFL,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,,Tenure Track Assistant Professor,,,,,
33,No,No,,Almost never,No,,Not sure,Not sure,Yes,Pur research Team ,Myself;My university/institution,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,"How to use repositories for data sharing and searching for existing datasets;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, urgently",Yes,"Yes, urgently",No,,Associate Professor,,,,,
34,No,Not sure,,Sometimes,No,,Yes,No,Yes,EPFL,Myself,Yes,"No, I have no idea what these are",,General introduction to research data management;How to use repositories for data sharing and searching for existing datasets,EPFL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, urgently",Yes,Yes,"Yes, urgently",No,,Adjunct or MER Professor,,,,,
35,No,No,,Almost never,No,,Yes,No,Not sure,,Myself,No,"No, I have no idea what these are",,"General introduction to research data management;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,,Adjunct or MER Professor,,,,,
36,Yes,No,,Almost never,No,,Yes,Not sure,Yes,"for SNF, OFROU projects, the data is public, for other research projects I manage, such as ""collectivité publique"" type, it is EPFL",Myself;My university/institution;My funding agency,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,How to use repositories for data sharing and searching for existing datasets;Using version control software,EPFL,Yes,Yes,"Yes, urgently","Yes, urgently",Yes,Not sure,Not sure,No,Not sure,Yes,Yes,Not sure,"Yes, urgently","Yes, sometimes",Google drive,Adjunct or MER Professor,,,,,
37,Yes,No,,Never,No,,No,No,Not sure,,I do not produce any data,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,we produce no data,EPFL,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,Full Professor,,,,,
38,No,No,,Sometimes,No,,Yes,No,Yes,EPFL,Myself,Not sure,Not sure,,Data management plan preparation;Data backup and storage solutions,EPFL,Yes,Yes,Yes,Yes,Yes,No,Yes,Not sure,Yes,Yes,Yes,Not sure,Yes,No,,Adjunct or MER Professor,,,,,
39,Yes,No,,Sometimes,Yes,OneNote and MySQL,,No,Yes,EPFL,Myself;My supervisor;My university/institution,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation;Using version control software,EPFL,No,Yes,"Yes, urgently",Yes,Yes,No,No,No,Yes,"Yes, urgently",Yes,No,No,"Yes, sometimes",Other rinstitutions,Postdoc/researcher,,,,,
40,Yes,No,,Sometimes,No,,Not sure,No,Yes,Myself,Myself,No,Not sure,,General introduction to research data management;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,EPFL,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,"Yes, often",vizier archive,Postdoc/researcher,,,,,
42,Yes,No,,Sometimes,No,,Yes,No,Not sure,,Myself;My supervisor,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software;Funders’ requirements for data management and sharing;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),EPFL,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Zonedo,Postdoc/researcher,,,,,
43,No,No,,Sometimes,No,,Yes,No,Not sure,,Myself,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets,EPFL,No,Not sure,"Yes, urgently",Yes,Not sure,No,No,Yes,Yes,"Yes, urgently",Not sure,Yes,No,No,,Postdoc/researcher,,,,,
44,No,No,,Never,No,,Not sure,No,Not sure,,Myself;My supervisor,No,"No, I have no idea what these are",,General introduction to research data management;Data backup and storage solutions,EPFL,No,Yes,Not sure,Not sure,Not sure,No,No,Yes,Yes,Yes,Yes,Not sure,No,No,,Postdoc/researcher,,,,,
45,Yes,No,,Almost never,No,,Yes,No,Not sure,,Myself,No,Not sure,,General introduction to research data management,EPFL,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Not sure,No,No,,Postdoc/researcher,,,,,
46,Not sure,No,,Sometimes,No,,Yes,No,No,,Myself,Not sure,Not sure,,General introduction to research data management;Data ownership and licensing;Using version control software,EPFL,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Not sure,Not sure,Not sure,Not sure,No,,PhD student,,,,,
47,Yes,No,,Sometimes,No,,Yes,No,No,,Myself;My university/institution,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation,EPFL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,No,No,,Postdoc/researcher,,,,,
